speech_party,speech_rows,speech_start_date,speech_end_date,speech_party_norm,speech_party_canonical,speech_label_type,n_rows,mapping_status,match_method,mpds_party_id,mpds_partyname,mpds_partyabbrev,mapping_note
ANO2011,69541,2013-11-25,2023-07-26,ANO2011,ANO2011,party,124752,mapped,canonical_name,82430,ANO 2011,ANO,
CSSD,26518,2013-11-25,2021-10-05,CSSD,CSSD,party,57767,mapped,canonical_abbrev,82320,Czech Social Democratic Party,ČSSD,
KDU-ČSL,18358,2013-11-27,2021-10-05,KDU-ČSL,KDUCSL,party,34223,mapped,exact_abbrev,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,
KSCM,22069,2013-11-27,2021-10-05,KSCM,KSCM,party,60112,mapped,canonical_abbrev,82220,Communist Party of Bohemia and Moravia,KSČM,
ODS,46276,2013-11-27,2021-10-05,ODS,ODS,party,61131,mapped,exact_abbrev,82413,Civic Democratic Party,ODS,
Piráti,16136,2017-11-20,2023-06-27,PIRÁTI,PIRATI,party,30325,mapped,exact_abbrev,82953,Czech Pirate Party,Piráti,
SPD,17590,2017-11-22,2023-07-26,SPD,SPD,party,34235,mapped,exact_abbrev,82721,Freedom and Direct Democracy,SPD,
STAN,5162,2017-11-20,2023-07-21,STAN,STAN,party,5162,mapped,exact_abbrev,82610,Mayors and Independents,STAN,
TOP09,27507,2013-11-27,2021-10-05,TOP09,TOP09,party,45484,mapped,exact_abbrev,82530,"Tradition, Responsibility, Prosperity 09",TOP09,
Usvit,8569,2013-11-27,2017-10-16,USVIT,USVIT,party,8569,mapped,canonical_abbrev,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,
