doc_key,mpds_party_id,manifesto_partyname,manifesto_partyabbrev,manifesto_date,manifesto_month_start,edate,manifesto_id,language,title,source,translation,annotations,n_quasi_sentences,linked_speech_parties,linked_party_months,fetch_status,fetch_error
82220_201310,82220,Communist Party of Bohemia and Moravia,KSČM,201310,2013-10-01,26/10/2013,82220_201310,czech,Preambule,MARPOR,,True,274,1,273,ok,
82220_201710,82220,Communist Party of Bohemia and Moravia,KSČM,201710,2017-10-01,21/10/2017,82220_201710,czech,"Jsme váš hlas! Mír ve světě, spravedlnost a bezpečí doma. Volební program KSČM pro volby do Poslanecké sněmovny Parlamentu České republiky 2017",MARPOR,,True,404,1,296,ok,
82320_201310,82320,Czech Social Democratic Party,ČSSD,201310,2013-10-01,26/10/2013,82320_201310,czech,Prosadíme Dobře Fungující stát,MARPOR,,True,461,1,281,ok,
82320_201710,82320,Czech Social Democratic Party,ČSSD,201710,2017-10-01,21/10/2017,82320_201710,czech,Dobrá země pro život. Volební program ČSSD pro volby 2017,MARPOR,,True,598,1,301,ok,
82413_201310,82413,Civic Democratic Party,ODS,201310,2013-10-01,26/10/2013,82413_201310,czech,Volební program,MARPOR,,True,734,1,280,ok,
82413_201710,82413,Civic Democratic Party,ODS,201710,2017-10-01,21/10/2017,82413_201710,czech,Silný program pro silné Česko. 190 kroku pro lepší život. Duben 2017,MARPOR,,True,419,1,312,ok,
82430_201310,82430,ANO 2011,ANO,201310,2013-10-01,26/10/2013,82430_201310,czech,Priority,MARPOR,,True,773,1,283,ok,
82430_201710,82430,ANO 2011,ANO,201710,2017-10-01,21/10/2017,82430_201710,czech,"Teď nebo nikdy. Ten jediný program, který potřebujete",MARPOR,,True,1234,1,468,ok,
82523_201310,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,2013-10-01,26/10/2013,82523_201310,czech,Volební program KDU-ČSL 2013-2017,MARPOR,,True,385,1,264,ok,
82523_201710,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201710,2017-10-01,21/10/2017,82523_201710,czech,Zodpovědně pro společný domov. Volební program KDU-ČSL pro sněmovní volby v roce 2017,MARPOR,,True,423,1,310,ok,
82530_201310,82530,"Tradition, Responsibility, Prosperity 09",TOP09,201310,2013-10-01,26/10/2013,82530_201310,czech,Volby 2013 do poslanecké snĕmovny,MARPOR,,True,656,1,284,ok,
82530_201710,82530,"Tradition, Responsibility, Prosperity 09",TOP09,201710,2017-10-01,21/10/2017,82530_201710,czech,Top 09. Volební program,MARPOR,,True,1237,1,305,ok,
82610_201710,82610,Mayors and Independents,STAN,201710,2017-10-01,21/10/2017,82610_201710,czech,"Program stan 2017. Chceme vrátit stát zodpovědným občanům. „Umíme se postarat o naše obce, postaráme se i o náš stát.“",MARPOR,,True,1265,1,281,ok,
82720_201310,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,2013-10-01,26/10/2013,82720_201310,czech,Program hnutí,MARPOR,,True,322,1,267,ok,
82721_201710,82721,Freedom and Direct Democracy,SPD,201710,2017-10-01,21/10/2017,82721_201710,czech,Volební program SPD. Demokracii a svobodu - Už nikdy o nás bez nás,MARPOR,,True,219,1,443,ok,
82953_201710,82953,Czech Pirate Party,Piráti,201710,2017-10-01,21/10/2017,82953_201710,czech,Volební program. Černé na bílém. Pro volby 2017 do Poslanecké sněmovny,MARPOR,,True,592,1,326,ok,
