topic,top_words
0,"deti, opatreni, pozmenovaci, lide, ministryne, stavu, bod, zdravotnictvi"
1,"pozmenovaci, vybor, hlasovat, usneseni, hlasovani, stanovisko, poslankyne, cteni"
2,"spd, obcanu, vladni, hnuti, duchodu, obcany, obcane, evropske"
3,"socialni, deti, hnuti, predsedajiciho, rici, demokracie, socialnich, pravo"
4,"financi, ministra, nevim, rikal, rika, ministryne, dane, zase"
5,"systemu, zdravotnictvi, pozmenovaci, zejmena, system, rizeni, zdravotni, dane"
6,"stavebni, miliard, stavebniho, evropske, 2022, rizeni, energie, 000"
7,"televize, miliard, no, ministra, ministre, nevim, on, 000"
8,"rozpoctu, rok, statniho, rozpocet, mld, financi, penize, vydaje"
9,"evropske, usneseni, rizeni, unie, cteni, ministre, vybor, velice"
